"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"well_2466_DUKE_27_A_yes_34_17_S7650"	1507300	1189402	0.21	86	0.998	"kept"	FALSE	0.28	"recurrence"	1507300	317898	1189402	0.210905592781795
"well_2467_DUKE_27_A_yes_34_18_S7651"	338370	286526	0.15	21	0.971	"kept"	FALSE	0.28	"recurrence"	338370	51844	286526	0.153216892750539
"well_247_DUKE_27_A_yes_3_30_S5431"	2654055	2130575	0.2	157	0.993	"kept"	FALSE	0.29	"recurrence"	2654055	523480	2130575	0.197237811575118
"well_248_DUKE_27_A_yes_3_31_S5432"	1320167	1065225	0.19	78	0.996	"kept"	FALSE	0.3	"recurrence"	1320167	254942	1065225	0.193113447010871
"well_2482_DUKE_27_A_yes_34_33_S7666"	1451228	1132305	0.22	82	0.996	"kept"	FALSE	0.29	"recurrence"	1451228	318923	1132305	0.219760781903326
"well_2493_DUKE_27_A_yes_34_44_S7677"	1066896	844701	0.21	62	0.974	"kept"	FALSE	0.31	"recurrence"	1066896	222195	844701	0.208263035947271
"well_2494_DUKE_27_A_yes_34_45_S7678"	1034936	828271	0.2	60	0.997	"kept"	FALSE	0.29	"recurrence"	1034936	206665	828271	0.199688676401246
"well_2495_DUKE_27_A_yes_34_46_S7679"	1273632	1002786	0.21	73	0.997	"kept"	FALSE	0.28	"recurrence"	1273632	270846	1002786	0.21265640310545
"well_250_DUKE_27_A_yes_3_33_S5434"	1731663	1422307	0.18	104	0.969	"kept"	FALSE	0.29	"recurrence"	1731663	309356	1422307	0.178646769030695
"well_2504_DUKE_27_A_yes_34_55_S7688"	1273468	988682	0.22	72	0.995	"kept"	FALSE	0.29	"recurrence"	1273468	284786	988682	0.223630275750942
"well_2511_DUKE_27_A_yes_34_62_S7695"	883230	698536	0.21	51	0.994	"kept"	FALSE	0.29	"recurrence"	883230	184694	698536	0.209112009329393
"well_2516_DUKE_27_A_yes_34_67_S7700"	476012	349907	0.26	23	0.972	"kept"	FALSE	0.29	"recurrence"	476012	126105	349907	0.264919791938018
"well_2529_DUKE_27_A_yes_35_8_S7713"	536578	418013	0.22	27	0.961	"kept"	FALSE	0.27	"recurrence"	536578	118565	418013	0.220965078702444
"well_2543_DUKE_27_A_yes_35_22_S7727"	1006429	769456	0.24	54	0.991	"kept"	FALSE	0.29	"recurrence"	1006429	236973	769456	0.235459232593655
"well_2558_DUKE_27_A_yes_35_37_S7742"	1950295	1533366	0.21	111	0.994	"kept"	FALSE	0.28	"recurrence"	1950295	416929	1533366	0.213777402905714
"well_2563_DUKE_27_A_yes_35_42_S7747"	1514570	1171201	0.23	83	0.993	"kept"	FALSE	0.3	"recurrence"	1514570	343369	1171201	0.226710551509669
"well_2564_DUKE_27_A_yes_35_43_S7748"	1428533	1106850	0.23	79	0.27	"removed"	FALSE	0.36	"recurrence"	1428533	321683	1106850	0.225184157453836
"well_2567_DUKE_27_A_yes_35_46_S7751"	1928249	1441895	0.25	102	0.995	"kept"	FALSE	0.3	"recurrence"	1928249	486354	1441895	0.252225723959924
"well_2568_DUKE_27_A_yes_35_47_S7752"	1666293	1317258	0.21	96	0.95	"kept"	FALSE	0.3	"recurrence"	1666293	349035	1317258	0.209467962717241
"well_2570_DUKE_27_A_yes_35_49_S7754"	907190	748600	0.17	54	0.986	"kept"	FALSE	0.29	"recurrence"	907190	158590	748600	0.17481453719728
"well_2578_DUKE_27_A_yes_35_57_S7762"	1555830	1201309	0.23	86	0.994	"kept"	FALSE	0.29	"recurrence"	1555830	354521	1201309	0.227866155042646
"well_2585_DUKE_27_A_yes_35_64_S7769"	1131406	891148	0.21	65	0.995	"kept"	FALSE	0.28	"recurrence"	1131406	240258	891148	0.212353478768895
"well_2589_DUKE_27_A_yes_35_68_S7773"	1005022	740814	0.26	54	0.228	"removed"	TRUE	0.05	"recurrence"	1005022	264208	740814	0.262887777580988
"well_2592_DUKE_27_A_yes_35_71_S7776"	1074573	808335	0.25	58	0.995	"kept"	FALSE	0.28	"recurrence"	1074573	266238	808335	0.247761669053661
"well_2596_DUKE_27_D_yes_36_3_S7780"	1615151	1229330	0.24	92	0.777	"removed"	TRUE	0.01	"recurrence"	1615151	385821	1229330	0.238876117465178
"well_2613_DUKE_27_D_yes_36_20_S7797"	1747019	1329139	0.24	92	0.367	"removed"	FALSE	0.41	"recurrence"	1747019	417880	1329139	0.239196024771339
"well_2614_DUKE_27_D_yes_36_21_S7798"	907629	664435	0.27	49	0.619	"removed"	TRUE	0.01	"recurrence"	907629	243194	664435	0.267944281198595
"well_2618_DUKE_27_D_yes_36_25_S7802"	596895	430077	0.28	31	0.405	"removed"	FALSE	0.82	"recurrence"	596895	166818	430077	0.279476289799714
"well_2626_DUKE_27_A_yes_36_33_S7810"	1507819	1198044	0.21	88	0.971	"kept"	FALSE	0.32	"recurrence"	1507819	309775	1198044	0.205445746472222
"well_2628_DUKE_27_A_yes_36_35_S7812"	1799343	1415208	0.21	104	0.989	"kept"	FALSE	0.31	"recurrence"	1799343	384135	1415208	0.213486255816706
