"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R15C52yesS_A_W_B2_S1133"	1040214	777114	0.25	53	0.97	"kept"	FALSE	0.31	"primary"	1040214	263100	777114	0.252928724281734
"SC89_NKI_12P_R15C63yesS_A_W_B2_S1144"	766567	574645	0.25	38	0.941	"kept"	FALSE	0.31	"primary"	766567	191922	574645	0.250365591005092
"SC89_NKI_12P_R15C67yesS_A_W_B2_S1148"	559551	415147	0.26	27	0.954	"kept"	FALSE	0.29	"primary"	559551	144404	415147	0.258071203518535
"SC89_NKI_12P_R15C70yesS_A_W_B2_S1151"	831551	638393	0.23	44	0.985	"kept"	FALSE	0.26	"primary"	831551	193158	638393	0.232286414182654
"SC89_NKI_12P_R15C71yesS_A_W_B2_S1152"	615118	457404	0.26	30	0.981	"kept"	FALSE	0.32	"primary"	615118	157714	457404	0.256396333711581
"SC89_NKI_12P_R16C19yesS_A_W_B1_S1172"	377663	296578	0.21	19	0.962	"kept"	FALSE	0.31	"primary"	377663	81085	296578	0.214701996224147
"SC89_NKI_12P_R16C23yesS_A_W_B1_S1176"	820054	626089	0.24	42	0.981	"kept"	FALSE	0.27	"primary"	820054	193965	626089	0.236527106751507
"SC89_NKI_12P_R16C29yesS_A_W_B2_S1182"	988559	765324	0.23	52	0.981	"kept"	FALSE	0.3	"primary"	988559	223235	765324	0.22581859049384
"SC89_NKI_12P_R16C34yesS_A_W_B2_S1187"	994351	764622	0.23	51	0.86	"kept"	FALSE	0.37	"primary"	994351	229729	764622	0.231034111696976
"SC89_NKI_12P_R16C35yesS_A_W_B2_S1188"	272032	221438	0.19	16	0.848	"kept"	TRUE	0.02	"primary"	272032	50594	221438	0.185985472297377
"SC89_NKI_12P_R16C47yesS_A_W_B2_S1200"	682711	525305	0.23	36	0.978	"kept"	FALSE	0.33	"primary"	682711	157406	525305	0.230560222407432
"SC89_NKI_12P_R16C5yesS_A_W_B1_S1158"	768608	598995	0.22	42	0.927	"kept"	FALSE	0.17	"primary"	768608	169613	598995	0.220675558932512
"SC89_NKI_12P_R16C61yesS_A_W_B1_S1214"	728553	570040	0.22	39	0.976	"kept"	FALSE	0.33	"primary"	728553	158513	570040	0.217572366046122
"SC89_NKI_12P_R16C62yesS_A_W_B1_S1215"	735086	584133	0.21	42	0.773	"removed"	TRUE	0.03	"primary"	735086	150953	584133	0.205354203453746
"SC89_NKI_12P_R16C71yesS_A_W_B2_S1224"	756718	593352	0.22	43	0.553	"removed"	TRUE	0.04	"primary"	756718	163366	593352	0.215887556527002
"SC89_NKI_12P_R16C7yesS_A_W_B1_S1160"	534759	418526	0.22	29	0.898	"kept"	FALSE	0.28	"primary"	534759	116233	418526	0.217355855628423
"SC89_NKI_12P_R16C9yesS_A_W_B2_S1162"	669916	525944	0.21	36	0.973	"kept"	FALSE	0.32	"primary"	669916	143972	525944	0.214910526095809
"SC89_NKI_12P_R17C17yesS_A_W_B2_S1242"	724195	568322	0.22	38	0.961	"kept"	FALSE	0.32	"primary"	724195	155873	568322	0.21523622781157
"SC89_NKI_12P_R17C1yesS_A_W_B1_S1226"	835367	649147	0.22	44	0.95	"kept"	FALSE	0.25	"primary"	835367	186220	649147	0.222919986066005
"SC89_NKI_12P_R17C21yesS_A_W_B1_S1246"	782163	601682	0.23	40	0.942	"kept"	FALSE	0.31	"primary"	782163	180481	601682	0.230746020970054
"SC89_NKI_12P_R17C26yesS_A_W_B1_S1251"	879074	696705	0.21	48	0.981	"kept"	FALSE	0.28	"primary"	879074	182369	696705	0.207455800080539
"SC89_NKI_12P_R17C31yesS_A_W_B2_S1256"	734620	596294	0.19	44	0.766	"removed"	TRUE	0.02	"primary"	734620	138326	596294	0.188295989763415
"SC89_NKI_12P_R17C38yesS_A_W_B1_S1263"	690702	525661	0.24	38	0.837	"kept"	TRUE	0.02	"primary"	690702	165041	525661	0.23894675272404
