"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R14C23yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1032_R1_001"	743210	622098	0.16	48	0.231	"removed"	FALSE	0.07	743210	121112	622098	48	0.162957979575086
"SC242_2_R14C24yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1033_R1_001"	780141	650679	0.17	48	0.99	"kept"	FALSE	0.29	780141	129462	650679	48	0.165946924978946
"SC242_2_R14C25yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1034_R1_001"	724459	611161	0.16	45	0.999	"kept"	FALSE	0.29	724459	113298	611161	45	0.156389802597524
"SC242_2_R14C29yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1038_R1_001"	723320	609443	0.16	46	0.29	"removed"	FALSE	0.06	723320	113877	609443	46	0.15743654260908
"SC242_2_R14C32yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1041_R1_001"	684325	586317	0.14	43	0.991	"kept"	FALSE	0.29	684325	98008	586317	43	0.143218499981734
"SC242_2_R14C33yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1042_R1_001"	678009	575309	0.15	42	0.924	"kept"	FALSE	0.18	678009	102700	575309	42	0.151472915551268
"SC242_2_R14C37yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1046_R1_001"	854643	733590	0.14	54	0.986	"kept"	FALSE	0.3	854643	121053	733590	54	0.14164159771975
"SC242_2_R14C38yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1047_R1_001"	716561	603484	0.16	44	0.993	"kept"	FALSE	0.27	716561	113077	603484	44	0.157805127546713
"SC242_2_R14C41yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1050_R1_001"	871590	749230	0.14	55	0.988	"kept"	FALSE	0.3	871590	122360	749230	55	0.140387108617584
"SC242_2_R14C43yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1052_R1_001"	787860	679035	0.14	51	0.839	"kept"	FALSE	0.41	787860	108825	679035	51	0.138127332267154
"SC242_2_R14C47yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1056_R1_001"	633690	537650	0.15	39	0.995	"kept"	FALSE	0.28	633690	96040	537650	39	0.151556754880146
"SC242_2_R14C49yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1058_R1_001"	202274	180466	0.11	13	0.985	"kept"	FALSE	0.3	202274	21808	180466	13	0.107814153079486
"SC242_2_R14C50yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1059_R1_001"	734810	619747	0.16	46	0.988	"kept"	FALSE	0.28	734810	115063	619747	46	0.156588778051469
"SC242_2_R14C52yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1061_R1_001"	828638	714867	0.14	52	0.959	"kept"	FALSE	0.31	828638	113771	714867	52	0.137298796338087
"SC242_2_R14C54yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1063_R1_001"	625534	538692	0.14	41	0.342	"removed"	TRUE	0.02	625534	86842	538692	41	0.138828584857098
