"","timepoint","cell_num","mpd","sample"
"299","recurrence","75","697.311652271143","nki22_p9"
"300","recurrence","100","735.163529186013","nki22_p9"
"301","recurrence","125","773.618915048703","nki22_p9"
"302","recurrence","150","795.791077058823","nki22_p9"
"303","recurrence","175","814.138710110478","nki22_p9"
"304","recurrence","200","848.837783773252","nki22_p9"
"305","recurrence","225","832.950929548779","nki22_p9"
"306","recurrence","250","867.189558234715","nki22_p9"
"307","recurrence","275","877.909495481214","nki22_p9"
"308","recurrence","300","873.419400258652","nki22_p9"
"309","recurrence","325","892.010816704963","nki22_p9"
"310","recurrence","350","897.796746822337","nki22_p9"
"311","recurrence","375","901.427813967798","nki22_p9"
"312","recurrence","400","920.63248934552","nki22_p9"
"313","recurrence","425","913.652491855955","nki22_p9"
"314","recurrence","450","934.457836040087","nki22_p9"
"315","recurrence","475","944.535190379105","nki22_p9"
"316","recurrence","500","945.961100773274","nki22_p9"
"317","recurrence","525","955.970696174828","nki22_p9"
"318","recurrence","550","964.35186193393","nki22_p9"
"319","recurrence","575","974.480076060805","nki22_p9"
"320","primary","50","1101.99994117067","nki15_p10"
"321","primary","75","1199.71844684042","nki15_p10"
"322","primary","100","1242.20895354824","nki15_p10"
"323","primary","125","1257.22795938178","nki15_p10"
"324","primary","150","1275.47239612329","nki15_p10"
"325","primary","175","1296.98459678108","nki15_p10"
"326","primary","200","1285.18037414276","nki15_p10"
"327","primary","225","1309.72932890326","nki15_p10"
"328","primary","250","1323.4001285884","nki15_p10"
"329","primary","275","1320.17886275875","nki15_p10"
"330","recurrence","50","777.220705708625","nki15_p10"
"331","recurrence","75","834.177383266187","nki15_p10"
"332","recurrence","100","876.451127478485","nki15_p10"
"333","recurrence","125","895.597862312481","nki15_p10"
"334","recurrence","150","917.288531240187","nki15_p10"
"335","recurrence","175","928.318877927824","nki15_p10"
"336","recurrence","200","919.809574692956","nki15_p10"
"337","recurrence","225","944.953145177492","nki15_p10"
"338","primary","50","1349.75575785708","nki31_p11"
"339","primary","75","1410.39415562826","nki31_p11"
"340","primary","100","1471.00085101035","nki31_p11"
"341","primary","125","1512.95163145728","nki31_p11"
"342","primary","150","1557.25214277482","nki31_p11"
"343","primary","175","1580.39139253035","nki31_p11"
"344","primary","200","1625.55051826299","nki31_p11"
"345","primary","225","1677.93978319659","nki31_p11"
"346","primary","250","1663.17944954155","nki31_p11"
"347","primary","275","1663.08537370671","nki31_p11"
"348","primary","300","1681.04650687184","nki31_p11"
"349","primary","325","1719.80883357453","nki31_p11"
"350","primary","350","1776.33095262396","nki31_p11"
"351","primary","375","1748.72658300017","nki31_p11"
"352","primary","400","1774.53790977162","nki31_p11"
"353","primary","425","1822.54420633119","nki31_p11"
"354","primary","450","1774.976212359","nki31_p11"
"355","primary","475","1783.90719471699","nki31_p11"
"356","primary","500","1780.13137082425","nki31_p11"
"357","recurrence","50","560.240376689093","nki31_p11"
"358","recurrence","75","598.975342274508","nki31_p11"
"359","recurrence","100","632.757801538497","nki31_p11"
"360","recurrence","125","641.912173599415","nki31_p11"
"361","recurrence","150","665.978003219065","nki31_p11"
"362","recurrence","175","686.441442395545","nki31_p11"
"363","recurrence","200","697.689767276455","nki31_p11"
"364","recurrence","225","707.491430197409","nki31_p11"
"365","recurrence","250","720.63658178612","nki31_p11"
"366","recurrence","275","739.135352947305","nki31_p11"
"367","recurrence","300","744.557838294897","nki31_p11"
"368","recurrence","325","741.003168235402","nki31_p11"
"369","recurrence","350","752.131485773355","nki31_p11"
"370","recurrence","375","759.519518953043","nki31_p11"
"371","recurrence","400","760.112714888013","nki31_p11"
"372","recurrence","425","766.813784351052","nki31_p11"
"373","primary","50","1090.74839688786","nki12_p12"
"374","primary","75","1172.94873014633","nki12_p12"
"375","primary","100","1156.53203374528","nki12_p12"
"376","primary","125","1183.94691853776","nki12_p12"
"377","primary","150","1209.78055997889","nki12_p12"
