"","cell","correlation","n_reads"
"344","MDA231.9x.cell3642_S3642_R1_001",0.999951727337746,"1M"
"345","MDA231.9x.cell3645_S3645_R1_001",0.964044857498292,"1M"
"346","MDA231.9x.cell3646_S3646_R1_001",0.959344335519835,"1M"
"347","MDA231.9x.cell3647_S3647_R1_001",0.977743484107893,"1M"
"348","MDA231.9x.cell3649_S3649_R1_001",0.969189713630446,"1M"
"349","MDA231.9x.cell365_S365_R1_001",0.981290659601083,"1M"
"350","MDA231.9x.cell3652_S3652_R1_001",0.99962903495202,"1M"
"351","MDA231.9x.cell3659_S3659_R1_001",0.943847272313278,"1M"
"352","MDA231.9x.cell3675_S3675_R1_001",0.979472201617528,"1M"
"353","MDA231.9x.cell3682_S3682_R1_001",0.996935029155683,"1M"
"354","MDA231.9x.cell3686_S3686_R1_001",0.987093118064478,"1M"
"355","MDA231.9x.cell3691_S3691_R1_001",1,"1M"
"356","MDA231.9x.cell3696_S3696_R1_001",0.995545870556663,"1M"
"357","MDA231.9x.cell3702_S3702_R1_001",1,"1M"
"358","MDA231.9x.cell3706_S3706_R1_001",0.993375345512398,"1M"
"359","MDA231.9x.cell3707_S3707_R1_001",0.97604923850199,"1M"
"360","MDA231.9x.cell371_S371_R1_001",0.978509465874897,"1M"
"361","MDA231.9x.cell3713_S3713_R1_001",0.999321361184539,"1M"
"362","MDA231.9x.cell3717_S3717_R1_001",0.999961623123962,"1M"
"363","MDA231.9x.cell3721_S3721_R1_001",0.999356975194752,"1M"
"364","MDA231.9x.cell3738_S3738_R1_001",0.967388218312732,"1M"
"365","MDA231.9x.cell3744_S3744_R1_001",0.991219095678649,"1M"
"366","MDA231.9x.cell3757_S3757_R1_001",0.997505256006045,"1M"
"367","MDA231.9x.cell3769_S3769_R1_001",0.972498519789277,"1M"
"368","MDA231.9x.cell3779_S3779_R1_001",0.989715433141281,"1M"
"369","MDA231.9x.cell3783_S3783_R1_001",0.999962873751293,"1M"
"370","MDA231.9x.cell3788_S3788_R1_001",0.94273400656947,"1M"
