sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp	tech
MDA231-9x-cell1437_S1437_R1_001	337262	284128	0.16	40	0.913	284128	40	0.157545172595786	arc_well_mda231	0.0108080029692296	Arc-well-MDAMB231
MDA231-9x-cell1438_S1438_R1_001	807323	691980	0.14	104	0.969	691980	104	0.142870945086415	arc_well_mda231	0.0031739144633442	Arc-well-MDAMB231
MDA231-9x-cell1446_S1446_R1_001	1049359	867654	0.17	128	0.973	867654	128	0.173158089843419	arc_well_mda231	0.00211928064136958	Arc-well-MDAMB231
MDA231-9x-cell145_S145_R1_001	569022	501583	0.12	76	0.987	501583	76	0.118517385971017	arc_well_mda231	0.00354632269849136	Arc-well-MDAMB231
MDA231-9x-cell1455_S1455_R1_001	1018306	861515	0.15	130	0.951	861515	130	0.153972381582746	arc_well_mda231	0.00451112201562835	Arc-well-MDAMB231
MDA231-9x-cell1473_S1473_R1_001	1090425	929215	0.15	130	0.899	929215	130	0.147841437971433	arc_well_mda231	0.0149385208479781	Arc-well-MDAMB231
MDA231-9x-cell1481_S1481_R1_001	886941	735567	0.17	112	0.963	735567	112	0.170669751426532	arc_well_mda231	0.00510638967148854	Arc-well-MDAMB231
MDA231-9x-cell1484_S1484_R1_001	594044	500177	0.16	72	0.944	500177	72	0.158013547818007	arc_well_mda231	0.00758559307874501	Arc-well-MDAMB231
MDA231-9x-cell1487_S1487_R1_001	1177495	983656	0.16	148	0.952	983656	148	0.164619807302791	arc_well_mda231	0.00346182674766971	Arc-well-MDAMB231
MDA231-9x-cell1492_S1492_R1_001	863441	715235	0.17	110	0.992	715235	110	0.171645775449625	arc_well_mda231	0.00295494622830134	Arc-well-MDAMB231
MDA231-9x-cell1497_S1497_R1_001	1102414	914773	0.17	126	0.886	914773	126	0.170209195456516	arc_well_mda231	0.0156695688062267	Arc-well-MDAMB231
MDA231-9x-cell1503_S1503_R1_001	1317504	1094564	0.17	166	0.969	1094564	166	0.169213907509958	arc_well_mda231	0.00367193248315855	Arc-well-MDAMB231
MDA231-9x-cell1504_S1504_R1_001	954610	834936	0.13	110	0.921	834936	110	0.125364284891212	arc_well_mda231	0.0131978394171576	Arc-well-MDAMB231
MDA231-9x-cell1505_S1505_R1_001	1001448	878981	0.12	130	0.86	878981	130	0.122289924189773	arc_well_mda231	0.0125309637108255	Arc-well-MDAMB231
MDA231-9x-cell1509_S1509_R1_001	803298	670202	0.17	96	0.957	670202	96	0.165686955525845	arc_well_mda231	0.0129383391068925	Arc-well-MDAMB231
MDA231-9x-cell1514_S1514_R1_001	1219861	1013771	0.17	144	0.837	1013771	144	0.168945478214321	arc_well_mda231	0.0170407774009448	Arc-well-MDAMB231
MDA231-9x-cell1516_S1516_R1_001	820425	680621	0.17	104	0.844	680621	104	0.170404363592041	arc_well_mda231	0.00375475826894915	Arc-well-MDAMB231
MDA231-9x-cell1518_S1518_R1_001	1174842	956514	0.19	146	0.954	956514	146	0.185836052847957	arc_well_mda231	0.00395124024208498	Arc-well-MDAMB231
MDA231-9x-cell152_S152_R1_001	593868	510563	0.14	76	0.939	510563	76	0.140275280028559	arc_well_mda231	0.00494151935029828	Arc-well-MDAMB231
MDA231-9x-cell1520_S1520_R1_001	991190	839966	0.15	118	0.904	839966	118	0.152568125182861	arc_well_mda231	0.0156082261701816	Arc-well-MDAMB231
MDA231-9x-cell1525_S1525_R1_001	1123428	933545	0.17	130	0.899	933545	130	0.169021067660767	arc_well_mda231	0.0127337137894898	Arc-well-MDAMB231
MDA231-9x-cell1527_S1527_R1_001	981186	817813	0.17	123	0.98	817813	123	0.166505637055563	arc_well_mda231	0.00301979207665384	Arc-well-MDAMB231
MDA231-9x-cell1538_S1538_R1_001	707290	577571	0.18	84	0.933	577571	84	0.1834028474883	arc_well_mda231	0.00309113897139597	Arc-well-MDAMB231
MDA231-9x-cell1539_S1539_R1_001	1240560	1034084	0.17	154	0.914	1034084	154	0.166437737795834	arc_well_mda231	0.0120750906332758	Arc-well-MDAMB231
MDA231-9x-cell1542_S1542_R1_001	997492	822508	0.18	122	0.974	822508	122	0.175423963299956	arc_well_mda231	0.00318100375463671	Arc-well-MDAMB231
MDA231-9x-cell155_S155_R1_001	563370	475834	0.16	70	0.89	475834	70	0.155379235671051	arc_well_mda231	0.0126780092587574	Arc-well-MDAMB231
MDA231-9x-cell1550_S1550_R1_001	980703	804634	0.18	122	0.918	804634	122	0.179533457122085	arc_well_mda231	0.0033534229873265	Arc-well-MDAMB231
MDA231-9x-cell1554_S1554_R1_001	899362	750244	0.17	114	0.979	750244	114	0.165804203424205	arc_well_mda231	0.0039878206135515	Arc-well-MDAMB231
MDA231-9x-cell1556_S1556_R1_001	1569175	1316878	0.16	196	0.887	1316878	196	0.160783214109325	arc_well_mda231	0.0035959587600294	Arc-well-MDAMB231
MDA231-9x-cell156_S156_R1_001	643820	548447	0.15	82	0.898	548447	82	0.148136125003883	arc_well_mda231	0.00489779886366642	Arc-well-MDAMB231
MDA231-9x-cell1560_S1560_R1_001	904014	745927	0.17	114	0.837	745927	114	0.174872291800791	arc_well_mda231	0.00425849439817397	Arc-well-MDAMB231
MDA231-9x-cell1563_S1563_R1_001	819445	678214	0.17	102	0.932	678214	102	0.172349578068083	arc_well_mda231	0.00513591123759893	Arc-well-MDAMB231
MDA231-9x-cell1566_S1566_R1_001	1172934	974196	0.17	148	0.948	974196	148	0.169436643494007	arc_well_mda231	0.00342526120572149	Arc-well-MDAMB231
MDA231-9x-cell157_S157_R1_001	861287	728467	0.15	110	0.978	728467	110	0.154211081788068	arc_well_mda231	0.00433661251322822	Arc-well-MDAMB231
MDA231-9x-cell1576_S1576_R1_001	1279725	1061515	0.17	156	0.948	1061515	156	0.170513196194495	arc_well_mda231	0.00506249329038137	Arc-well-MDAMB231
MDA231-9x-cell1585_S1585_R1_001	1273268	1040759	0.18	158	0.881	1040759	158	0.182608060518288	arc_well_mda231	0.00291207878301542	Arc-well-MDAMB231
MDA231-9x-cell1590_S1590_R1_001	915591	746887	0.18	114	0.966	746887	114	0.18425694442169	arc_well_mda231	0.00305272661562734	Arc-well-MDAMB231
MDA231-9x-cell1592_S1592_R1_001	803583	682003	0.15	96	0.83	682003	96	0.151297376873329	arc_well_mda231	0.0213591197401615	Arc-well-MDAMB231
MDA231-9x-cell1594_S1594_R1_001	1531015	1271444	0.17	194	0.94	1271444	194	0.169541774574384	arc_well_mda231	0.00391907868648188	Arc-well-MDAMB231
MDA231-9x-cell16_S16_R1_001	1560063	1308317	0.16	202	0.953	1308317	202	0.161369124195625	arc_well_mda231	0.00300282626159339	Arc-well-MDAMB231
MDA231-9x-cell1605_S1605_R1_001	938563	771682	0.18	116	0.967	771682	116	0.177804793071962	arc_well_mda231	0.00250826579937968	Arc-well-MDAMB231
MDA231-9x-cell1609_S1609_R1_001	1182409	960824	0.19	132	0.901	960824	132	0.187401313758606	arc_well_mda231	0.0153250900208167	Arc-well-MDAMB231
MDA231-9x-cell1612_S1612_R1_001	702226	574915	0.18	86	0.987	574915	86	0.181296334798199	arc_well_mda231	0.00360854486818987	Arc-well-MDAMB231
MDA231-9x-cell1618_S1618_R1_001	983274	825772	0.16	112	0.905	825772	112	0.160181190593873	arc_well_mda231	0.0142887405915239	Arc-well-MDAMB231
MDA231-9x-cell1622_S1622_R1_001	892040	731868	0.18	110	0.97	731868	110	0.179556970539438	arc_well_mda231	0.00264475038650735	Arc-well-MDAMB231
MDA231-9x-cell1623_S1623_R1_001	1327100	1090074	0.18	166	0.908	1090074	166	0.178604475924949	arc_well_mda231	0.00304010798724671	Arc-well-MDAMB231
MDA231-9x-cell1626_S1626_R1_001	1262024	1048487	0.17	156	0.911	1048487	156	0.169202012006111	arc_well_mda231	0.00965794381694834	Arc-well-MDAMB231
MDA231-9x-cell1632_S1632_R1_001	1037543	858817	0.17	128	0.981	858817	128	0.172258884692008	arc_well_mda231	0.00325104262664592	Arc-well-MDAMB231
MDA231-9x-cell1635_S1635_R1_001	836831	687709	0.18	102	0.987	687709	102	0.178198465401019	arc_well_mda231	0.00364567801378227	Arc-well-MDAMB231
MDA231-9x-cell1636_S1636_R1_001	1428976	1165042	0.18	172	0.935	1165042	172	0.184701492537313	arc_well_mda231	0.00286376611950984	Arc-well-MDAMB231
MDA231-9x-cell1637_S1637_R1_001	1085488	889503	0.18	136	0.992	889503	136	0.180550130448241	arc_well_mda231	0.003649945156427	Arc-well-MDAMB231
MDA231-9x-cell1638_S1638_R1_001	833641	686998	0.18	102	0.942	686998	102	0.175906655262877	arc_well_mda231	0.00465371710005204	Arc-well-MDAMB231
MDA231-9x-cell165_S165_R1_001	577427	490767	0.15	66	0.883	490767	66	0.150079577158671	arc_well_mda231	0.015992444638748	Arc-well-MDAMB231
